Energy,Absorption
857.651,294.307
858.925,299.264
860.199,346.252
861.473,358.238
862.746,357.223
864.02,374.222
865.293,367.346
866.566,382.327
867.839,389.307
869.112,390.294
870.384,394.239
871.656,370.247
872.928,388.222
874.2,377.195
875.472,366.124
876.744,385.027
878.015,329.98
879.286,336.753
880.557,309.676
881.828,285.635
883.098,255.336
884.369,201.222
885.639,184.007
886.909,143.736
888.178,111.67
889.448,113.618
890.717,109.246
891.987,88.2
893.256,84.147
894.524,73.916
895.793,87.788
897.061,89.647
898.33,85.579
899.598,96.282
900.865,103.213
902.133,91.041
903.401,91.984
904.668,70.548
905.935,82.155
907.202,71.065
908.468,72.904
909.735,57.824
911.001,52.764
912.267,56.722
913.533,42.677
914.799,53.595
916.064,48.582
917.33,41.511
918.595,53.483
919.86,53.405
921.124,53.912
922.389,63.718
923.653,64.216
924.918,79.486
926.182,96.227
927.445,93.18
928.709,116.162
929.972,124.115
931.236,127.77
932.499,126.753
933.761,126.646
935.024,119.627
936.286,118.602
937.549,123.572
938.811,126.542
940.073,118.522
941.334,114.501
942.596,119.48
943.857,86.46
945.118,74.439
946.379,82.431
947.64,44.411
948.9,45.392
950.161,28.372
951.421,26.368
952.681,29.348
953.94,18.328
955.2,24.307
956.459,23.286
957.719,30.314
958.978,10.292
960.236,14.27
961.495,11.247
962.753,10.224
964.012,11.57
965.27,15.546
966.527,3.537
967.785,3.512
969.043,7.487
970.3,11.461
971.557,10.435
972.814,7.409
974.071,1.617
975.327,0.645
976.583,1.673
977.84,3.702
979.095,9.687
980.351,9.657
981.607,8.626
982.862,9.596
984.117,6.574
985.372,6.549
986.627,8.524
987.882,8.784
989.136,5.459
990.39,9.426
991.644,11.394
992.898,4.36
994.152,9.327
995.405,3.293
996.659,3.741
997.912,3.223
999.165,0.197
1000.417,10.161
1001.67,2.139
1002.922,6.155
1004.174,6.12
1005.426,1.085
1006.678,4.073
1007.93,2.95
1009.181,10.014
1010.432,10.054
1011.683,3.017
1012.934,7.98
1014.185,0.056
1015.435,3.093
1016.685,4.868
1017.935,3.829
1019.185,0.79
1020.435,4.765
1021.684,2.728
1022.934,10.688
1024.183,12.648
1025.432,8.679
1026.68,11.902
1027.929,2.866
1029.177,2.157
1030.425,5.804
1031.673,4.924
1032.921,9.902
1034.169,11.093
1035.416,2.836
1036.663,8.799
1037.911,10.123
1039.157,1.087
1040.404,7.062
1041.65,13.028
1042.897,15.993
1044.143,1.042
1045.389,14.923
1046.634,5.889
1047.88,3.856
1049.125,11.822
1050.371,7.796
1051.615,3.763
1052.86,11.731
1054.105,7.699
1055.349,11.68
1056.593,6.651
1057.837,5.622
1059.081,7.593
1060.325,9.564
1061.568,12.535
1062.812,6.506
1064.055,8.713
1065.298,0.462
1066.54,6.432
1067.783,8.405
1069.025,6.375
1070.267,10.345
1071.509,7.316
1072.751,10.289
1073.993,4.666
1075.234,2.546
1076.475,11.425
1077.716,15.396
1078.957,1.601
1080.198,8.571
1081.438,16.543
1082.679,14.518
1083.919,17.489
1085.159,12.461
1086.398,2.431
1087.638,12.402
1088.877,10.372
1090.116,16.341
1091.355,10.415
1092.594,5.384
1093.833,16.353
1095.071,2.322
1096.309,24.29
1097.547,10.259
1098.785,10.227
1100.023,1.194
1101.26,16.162
1102.498,21.135
1103.735,10.101
1104.972,18.068
1106.208,0.033
1107.445,9.998
1108.681,12.963
1109.918,6.927
1111.154,11.891
1112.389,5.146
1113.625,13.815
1114.86,1.774
1116.096,8.734
1117.331,11.693
1118.566,11.651
1119.8,10.609
1121.035,12.576
1122.269,8.534
1123.503,5.435
1124.737,12.369
1125.971,10.267
1127.205,5.919
1128.438,5.033
1129.671,7.186
1130.904,16.151
1132.137,3.102
1133.37,4.052
1134.602,4.002
1135.834,12.955
1137.066,15.904
1138.298,17.957
1139.53,11.809
1140.762,15.758
1141.993,19.72
1143.224,5.668
1144.455,8.626
1145.686,13.407
1146.917,3.357
1148.147,8.301
1149.377,2.247
1150.607,0.191
1151.837,8.137
1153.067,6.081
1154.296,1.019
1155.526,2.962
1156.755,6.79
1157.984,0.267
1159.213,6.675
1160.441,7.616
1161.67,15.558
1162.898,5.484
1164.126,10.282
1165.354,8.229
1166.581,6.169
1167.809,2.1
1169.036,5.038
1170.263,10.977
1171.49,9.915
1172.717,0.148
1173.943,3.211
1175.17,4.723
1176.396,1.656
1177.622,5.496
1178.848,1.572
1180.073,1.388
1181.299,8.478
1182.524,3.408
1183.749,15.45
1184.974,4.618
1186.199,7.312
1187.423,3.227
1188.648,21.151
1189.872,11.075
1191.096,10.999
1192.32,12.868
1193.543,12.803
1194.767,5.725
1195.99,6.795
1197.213,4.717
1198.436,7.638
1199.659,7.559
1200.881,8.479
1202.104,3.398
1203.326,7.317
1204.548,15.236
1205.77,16.154
1206.991,12.071
1208.213,7.988
1209.434,11.905
1210.655,7.821
1211.876,2.736
1213.096,13.637
1214.317,5.565
1215.537,11.479
1216.757,16.392
1217.977,23.305
1219.197,7.218
1220.417,0.13
1221.636,1.256
1222.855,10.495
1224.074,19.403
1225.293,2.686
1226.512,10.208
1227.731,10.113
1228.949,5.023
1230.167,7.945
1231.385,5.849
1232.603,7.759
1233.82,13.669
1235.038,16.572
1236.255,11.491
1237.472,0.598
1238.689,15.405
1239.906,8.305
1241.122,8.204
1242.338,10.096
1243.555,14.067
1244.771,12.978
1245.986,7.875
1247.202,15.771
1248.417,4.668
1249.633,8.579
1250.848,9.475
1252.063,18.375
1253.277,13.221
1254.492,10.116
1255.706,12.023
1256.92,16.926
1258.134,20.834
1259.348,14.389
1260.562,16.28
1261.775,7.157
1262.988,11.047
1264.201,5.937
1265.414,8.827
1266.627,3.716
1267.839,10.605
1269.052,7.502
1270.264,5.392
1271.476,16.28
1272.688,4.168
1273.899,16.637
1275.111,2.477
1276.322,2.41
1277.533,15.296
1278.744,6.172
1279.955,13.085
1281.165,4.964
1282.376,5.847
1283.586,5.729
1284.796,3.845
1286.006,10.492
1287.215,2.531
1288.425,8.412
1289.634,3.291
1290.843,12.17
1292.052,5.049
1293.261,3.919
1294.469,14.797
1295.678,15.672
1296.886,5.498
1298.094,14.376
1299.302,12.27
1300.509,10.124
1301.717,1.989
1302.924,18.88
1304.131,14.68
1305.338,16.556
1306.545,5.432
1307.752,8.316
1308.958,13.19
1310.164,4.106
1311.37,7.98
1312.576,11.853
1313.782,8.711
1314.987,11.58
1316.193,13.789
1317.398,16.322
1318.603,14.121
1319.807,12.741
1321.012,11.245
1322.216,2.458
1323.421,6.326
1324.625,0.036
1325.829,2.105
1327.032,5.767
1328.236,1.377
1329.439,4.49
1330.642,3.996
