Energy,Fe foil,Fe2O3,Fe3O4,FeO
7248.456,0.96352466,0.97526779,0.94980801,1.0032512
7250.734,0.96832606,0.97361085,0.95518366,1.0091306
7253.031,0.96455897,0.97224624,0.96364254,1.0108886
7255.348,0.95767183,0.97385118,0.97409347,1.0104264
7257.683,0.95539237,0.98058908,0.98529784,1.0096179
7260.037,0.96099882,0.98793027,0.99638134,1.0101771
7262.411,0.97080028,0.99463745,1.0058488,1.0125393
7264.803,0.97970264,0.99772122,1.0140715,1.0160396
7267.214,0.987708,1.0033883,1.0187997,1.019298
7269.644,0.99752352,1.0100074,1.0211506,1.0218553
7272.094,1.0138114,1.0115165,1.022364,1.0232021
7274.562,1.0294691,1.0122977,1.0226641,1.0225288
7277.05,1.0382818,1.0166226,1.0221743,1.0198887
7279.556,1.0453198,1.0192051,1.0207815,1.0153517
7282.081,1.0556197,1.0214602,1.0186553,1.0088847
7284.626,1.068628,1.022207,1.0136587,1.0011808
7287.189,1.0791486,1.020945,1.0066266,0.99273639
7289.772,1.0823352,1.0194646,0.99941441,0.98452237
7292.373,1.0697783,1.0181446,0.99345776,0.97748639
7294.994,1.0465554,1.0156431,0.98984282,0.97330035
7297.634,1.0206037,1.0125067,0.98689935,0.97210778
7300.292,0.99822763,1.006826,0.98421463,0.97347353
7302.97,0.98008706,0.99918797,0.98141851,0.97765925
7305.667,0.96830665,0.99350369,0.97893877,0.98336069
7308.382,0.96176388,0.98950868,0.97716253,0.98943518
7311.117,0.96048464,0.98343927,0.97735646,0.99546059
7313.871,0.96287589,0.97738396,0.97982202,1.000652
7316.643,0.96450939,0.97144326,0.98412801,1.0045482
7319.435,0.96495353,0.96719584,0.98985512,1.0071724
7322.246,0.96538157,0.96704159,0.99569115,1.0088708
7325.076,0.96619462,0.96995132,1.0007186,1.0098344
7327.925,0.96731909,0.97564497,1.004951,1.0100839
7330.792,0.96723631,0.98204081,1.0068885,1.0096373
7333.68,0.96316254,0.99013353,1.0066122,1.0086215
7336.585,0.95864767,0.99761235,1.0052412,1.0070708
7339.51,0.95811153,1.0052144,1.003713,1.0051138
7342.454,0.96404268,1.011864,1.0010741,1.0028481
7345.417,0.97651929,1.0131803,0.99766486,1.0005349
7348.399,0.99378662,1.0128191,0.99456835,0.99855326
7351.4,1.0109895,1.0111917,0.9927607,0.99715361
7354.42,1.0264335,1.0087475,0.99189471,0.99652521
7357.459,1.0392047,1.0063993,0.99119206,0.99637456
7360.517,1.0517147,1.003087,0.99187353,0.99612727
7363.594,1.0605464,0.9981691,0.99258048,0.99555186
7366.69,1.0644275,0.99529951,0.99455448,0.99483064
7369.806,1.0617994,0.99284706,0.99659995,0.99420442
7372.94,1.0507787,0.99109479,0.99768694,0.99385294
7376.093,1.0310252,0.9900086,0.99742541,0.99424386
7379.265,1.0049894,0.98872457,0.99694769,0.99499559
7382.456,0.97894189,0.98922013,0.99661772,0.99603009
7385.666,0.96275082,0.98891738,0.99684127,0.99733334
7388.896,0.95874573,0.98815032,0.9978503,0.99916801
7392.144,0.96264007,0.98769113,0.99918437,1.0009817
7395.412,0.96953839,0.98809574,1.001119,1.0023433
7398.698,0.9747978,0.99257169,1.0021643,1.0033028
7402.003,0.97648494,0.99877566,1.0024059,1.0036497
7405.328,0.97741081,1.0042108,1.0020021,1.0031824
7408.671,0.97962361,1.0086872,1.0012114,1.0021296
7412.033,0.98227418,1.0098152,1.0001464,1.0005338
7415.415,0.98419475,1.0106458,0.99935959,0.99867145
7418.815,0.98481261,1.0115626,0.99857969,0.99659527
7422.235,0.98329165,1.0105353,0.9976115,0.99490091
7425.673,0.97911594,1.007802,0.99710468,0.99398009
7429.131,0.97721164,1.005264,0.99639233,0.99353168
7432.607,0.97938222,1.002259,0.9959303,0.99372785
7436.103,0.98344165,0.99758415,0.995261,0.99588556
7439.617,0.98992639,0.99432052,0.99537837,0.99575022
7443.151,0.99972036,0.99203895,0.99649006,0.99494053
7446.704,1.0098092,0.98900477,0.99812687,0.99553331
7450.275,1.0176205,0.98679051,0.99981419,0.99638564
7453.866,1.0210951,0.98697817,1.0011266,0.99741812
7457.476,1.0225371,0.98935732,1.0014786,0.99858557
7461.104,1.023026,0.99137482,1.0011789,0.99981068
7464.752,1.0203768,0.99312276,0.999934,1.000965
7468.419,1.0147163,0.99534233,0.99836915,1.0018058
7472.104,1.00745,0.99722452,0.99779007,1.0023414
7475.809,1.0008133,0.9991242,0.99813868,1.0025131
7479.533,0.99667254,1.0012044,0.99906421,1.0024735
7483.276,0.99218531,1.002734,0.99943144,1.0021459
7487.038,0.98704272,1.0023832,0.99941727,1.0012095
7490.819,0.98154879,1.0017502,0.99938491,1.0000246
7494.619,0.97815144,1.0020158,0.99955016,0.99881965
7498.437,0.97879729,1.0016729,0.99972446,0.99777506
7502.275,0.9822679,1.0008164,0.99993582,0.99719914
7506.132,0.98581772,1.0001133,1.0006595,0.99689849
7510.009,0.98810843,1.0005927,1.0009678,0.99700288
7513.903,0.98882128,1.000786,1.0010441,0.99730173
7517.817,0.98890158,0.99987535,1.0015118,0.99753364
7521.75,0.98902686,0.99925768,1.0017028,0.99779773
7525.703,0.99030851,0.99859179,1.0019068,0.99798096
7529.674,0.99266951,0.99943427,1.0020013,0.9980864
7533.664,0.99493234,1.0004318,1.0019205,0.99825685
7537.673,0.99576478,1.0009105,1.0018695,0.9984277
7541.701,0.99591779,1.0021724,1.0017716,0.99875468
7545.748,0.99560662,1.0025127,1.0014582,0.99903481
7549.814,0.99668059,1.0026974,1.0010325,0.9985095
7553.9,0.99898349,1.0025362,1.0004232,0.99972516
7558.004,1.0036223,1.0014959,0.99990535,1.0004442
7562.127,1.0077235,1.0011534,0.99999011,1.000859
7566.269,1.0105764,1.0014374,1.0002817,1.0014064
7570.431,1.0105046,1.0015615,1.0009275,1.0016237
7574.611,1.0072652,1.002184,1.001359,1.0015852
7578.81,1.0034147,1.0030149,1.001476,1.0014207
7583.029,0.99904675,1.0021983,1.0016129,1.0012052
7587.266,0.99594078,1.0025632,1.001783,1.0009992
7591.523,0.9949444,1.0034416,1.0022678,1.0007513
7595.798,0.9955603,1.0022465,1.002812,1.0006429
7600.093,0.9966371,1.0026754,1.0035547,1.0006838
7604.406,0.99682121,1.001831,1.0038302,1.0005026
7608.739,0.99688327,1.0022366,1.0038575,1.0003827
7613.09,0.99539136,1.0036749,1.0039812,1.0003866
7617.46,0.99476755,1.0043197,1.0036252,1.0003056
7621.85,0.99596384,1.0037878,1.0033605,1.0003896
7626.259,0.99838537,1.0047073,1.0031335,1.0005339
7630.686,0.9993955,1.0053592,1.0025119,1.0006081
7635.133,0.99906948,1.0045208,1.0020673,1.0006991
7639.599,0.99732621,1.0036016,1.0018386,1.0010615
7644.083,0.99581313,1.0014548,1.0013629,1.0008501
7648.587,0.99489289,1.00127,1.0011077,1.0014692
7653.11,0.99478925,1.0007977,1.000948,1.0016855
7657.651,0.99548806,0.99895329,1.0009775,1.0018624
7662.212,0.99679084,0.99766602,1.0011572,1.0021504
7666.792,0.99833377,0.99805551,1.0012921,1.0022341
7671.391,1.0004358,0.99938935,1.0014731,1.0020941
7676.009,1.0031794,1.0009754,1.0016682,1.0021124
7680.645,1.0053281,1.0027219,1.0020854,1.0020997
7685.301,1.0067317,1.0045874,1.0023511,1.002114
7689.976,1.0065631,1.0044119,1.0024492,1.0020273
7694.67,1.0058481,1.0036795,1.0028063,1.0019413
7699.383,1.0049805,1.0050146,1.0030262,1.0019778
7704.115,1.0040727,1.0053723,1.0032585,1.0019448
7708.866,1.0038589,1.0044592,1.0030562,1.0018213
7713.636,1.0028344,1.0042417,1.0026081,1.0017758
7718.425,1.0018544,1.0041232,1.0024005,1.001837
7723.233,1.0011827,1.0031903,1.0021392,1.0018831
7728.06,1.0013999,1.0026977,1.001598,1.0018469
7732.906,1.0017088,1.0039339,1.0010105,1.0018175
7737.771,1.001514,1.0026667,1.0004629,1.0018551
7742.655,1.0022339,1.0031304,1.0004708,1.0019196
7747.559,1.0026325,1.0036815,1.0003766,1.0020884
7752.48,1.0030237,1.0021593,1.0005373,1.0022966
7757.422,1.0026109,1.0009489,1.0004761,1.0023329
7762.382,1.0028087,1.0007453,1.0002325,1.0023031
