energy,Fe_foil,Fe2O3,Fe3O4,FeO
7313.871,2.65E-04,-1.69E-03,6.65E-04,1.27E-03
7316.643,-8.41E-04,-1.60E-03,2.02E-03,5.97E-04
7319.435,-1.52E-03,-1.31E-03,2.63E-03,4.35E-05
7322.246,-1.31E-03,-9.58E-04,2.32E-03,-3.69E-04
7325.076,-9.31E-04,-6.74E-04,1.64E-03,-7.24E-04
7327.925,-1.42E-03,-5.07E-04,3.55E-04,-1.08E-03
7330.792,-4.25E-03,-3.94E-04,-1.48E-03,-1.38E-03
7333.68,-6.62E-03,-3.46E-04,-2.81E-03,-1.64E-03
7336.585,-4.69E-03,-3.71E-04,-3.31E-03,-1.86E-03
7339.51,8.96E-04,-4.14E-04,-3.80E-03,-2.03E-03
7342.454,7.77E-03,-7.08E-04,-4.52E-03,-2.10E-03
7345.417,1.37E-02,-1.03E-03,-4.68E-03,-2.03E-03
7348.399,1.61E-02,-1.17E-03,-4.04E-03,-1.80E-03
7351.4,1.50E-02,-1.26E-03,-3.16E-03,-1.48E-03
7354.42,1.26E-02,-1.29E-03,-2.72E-03,-1.19E-03
7357.459,1.10E-02,-1.33E-03,-2.12E-03,-1.10E-03
7360.517,8.93E-03,-1.44E-03,-1.58E-03,-1.19E-03
7363.594,4.49E-03,-1.41E-03,-1.09E-03,-1.30E-03
7366.69,-1.31E-03,-1.30E-03,-5.89E-04,-1.30E-03
7369.806,-8.77E-03,-1.25E-03,-9.19E-04,-1.22E-03
7372.94,-1.72E-02,-1.19E-03,-1.78E-03,-9.87E-04
7376.093,-2.46E-02,-1.16E-03,-2.35E-03,-7.39E-04
7379.265,-2.75E-02,-1.09E-03,-2.37E-03,-5.97E-04
7382.456,-2.26E-02,-1.05E-03,-2.11E-03,-4.77E-04
7385.666,-1.17E-02,-1.10E-03,-1.62E-03,-3.00E-04
7388.896,-1.97E-03,-1.10E-03,-1.21E-03,-1.97E-04
7392.144,3.27E-03,-1.05E-03,-8.80E-04,-2.98E-04
7395.412,3.90E-03,-8.43E-04,-9.85E-04,-4.83E-04
7398.698,1.40E-03,-6.01E-04,-1.58E-03,-6.95E-04
7402.003,-6.63E-04,-5.61E-04,-2.09E-03,-1.00E-03
7405.328,-4.19E-04,-6.33E-04,-2.44E-03,-1.29E-03
7408.671,3.81E-04,-8.10E-04,-2.67E-03,-1.52E-03
7412.033,2.37E-04,-9.57E-04,-2.65E-03,-1.68E-03
7415.415,-7.08E-04,-9.65E-04,-2.55E-03,-1.78E-03
7418.815,-2.29E-03,-1.04E-03,-2.60E-03,-1.73E-03
7422.235,-4.47E-03,-1.18E-03,-2.50E-03,-1.49E-03
7425.673,-4.62E-03,-1.24E-03,-2.40E-03,-1.23E-03
7429.131,-1.74E-03,-1.25E-03,-2.38E-03,-1.00E-03
7432.607,9.39E-04,-1.33E-03,-2.36E-03,-4.76E-04
7436.103,2.85E-03,-1.33E-03,-2.15E-03,-5.35E-04
7439.617,5.38E-03,-1.24E-03,-1.56E-03,-1.14E-03
7443.151,6.93E-03,-1.22E-03,-1.06E-03,-9.90E-04
7446.704,6.02E-03,-1.22E-03,-8.66E-04,-6.56E-04
7450.275,3.10E-03,-1.09E-03,-9.70E-04,-5.69E-04
7453.866,3.08E-04,-9.15E-04,-1.40E-03,-5.07E-04
7457.476,-9.88E-04,-8.43E-04,-1.92E-03,-4.69E-04
7461.104,-2.75E-03,-8.65E-04,-2.42E-03,-4.71E-04
7464.752,-5.37E-03,-8.57E-04,-2.82E-03,-5.45E-04
7468.419,-7.31E-03,-8.50E-04,-2.60E-03,-6.61E-04
7472.104,-7.69E-03,-8.61E-04,-1.98E-03,-7.87E-04
7475.809,-6.34E-03,-8.52E-04,-1.50E-03,-8.93E-04
7479.533,-5.41E-03,-8.64E-04,-1.49E-03,-9.86E-04
7483.276,-5.80E-03,-9.51E-04,-1.78E-03,-1.15E-03
7487.038,-6.19E-03,-1.03E-03,-1.90E-03,-1.30E-03
7490.819,-5.45E-03,-1.00E-03,-1.83E-03,-1.35E-03
7494.619,-2.90E-03,-9.90E-04,-1.77E-03,-1.32E-03
7498.437,-8.70E-05,-1.03E-03,-1.74E-03,-1.19E-03
7502.275,1.09E-03,-1.04E-03,-1.57E-03,-1.06E-03
7506.132,6.03E-04,-9.89E-04,-1.54E-03,-9.31E-04
7510.009,-5.45E-04,-9.55E-04,-1.72E-03,-8.20E-04
7513.903,-1.43E-03,-1.00E-03,-1.67E-03,-7.94E-04
7517.817,-1.66E-03,-1.03E-03,-1.63E-03,-7.98E-04
7521.75,-1.18E-03,-1.02E-03,-1.70E-03,-8.04E-04
7525.703,-2.95E-04,-9.63E-04,-1.73E-03,-8.30E-04
7529.674,8.92E-05,-9.03E-04,-1.80E-03,-8.29E-04
7533.664,-5.12E-04,-9.13E-04,-1.84E-03,-8.15E-04
7537.673,-1.33E-03,-9.02E-04,-1.84E-03,-7.86E-04
7541.701,-1.77E-03,-9.05E-04,-1.90E-03,-7.63E-04
7545.748,-1.41E-03,-9.39E-04,-1.99E-03,-9.06E-04
7549.814,-4.05E-04,-9.54E-04,-2.07E-03,-7.56E-04
7553.9,9.56E-04,-9.92E-04,-2.08E-03,-5.16E-04
7558.004,1.63E-03,-9.96E-04,-1.88E-03,-6.59E-04
7562.127,9.47E-04,-9.49E-04,-1.64E-03,-6.91E-04
7566.269,-6.32E-04,-9.31E-04,-1.48E-03,-7.23E-04
7570.431,-2.92E-03,-9.17E-04,-1.43E-03,-8.15E-04
7574.611,-4.31E-03,-8.92E-04,-1.57E-03,-8.79E-04
7578.81,-4.72E-03,-9.36E-04,-1.65E-03,-9.05E-04
7583.029,-4.42E-03,-9.49E-04,-1.63E-03,-9.08E-04
7587.266,-3.16E-03,-8.92E-04,-1.53E-03,-9.10E-04
7591.523,-1.79E-03,-9.39E-04,-1.42E-03,-8.91E-04
7595.798,-1.02E-03,-9.52E-04,-1.34E-03,-8.39E-04
7600.093,-1.18E-03,-9.37E-04,-1.41E-03,-8.48E-04
7604.406,-1.54E-03,-9.35E-04,-1.59E-03,-8.71E-04
7608.739,-2.14E-03,-8.60E-04,-1.63E-03,-8.38E-04
7613.09,-2.38E-03,-8.51E-04,-1.72E-03,-8.27E-04
7617.46,-1.41E-03,-9.10E-04,-1.82E-03,-8.12E-04
7621.85,-3.20E-04,-8.99E-04,-1.77E-03,-7.73E-04
7626.259,-3.85E-04,-8.59E-04,-1.86E-03,-7.71E-04
7630.686,-1.35E-03,-9.11E-04,-1.91E-03,-7.77E-04
7635.133,-2.31E-03,-9.57E-04,-1.80E-03,-7.28E-04
7639.599,-2.72E-03,-9.94E-04,-1.80E-03,-7.73E-04
7644.083,-2.42E-03,-9.69E-04,-1.79E-03,-7.28E-04
7648.587,-1.93E-03,-9.15E-04,-1.70E-03,-6.61E-04
7653.11,-1.36E-03,-9.62E-04,-1.62E-03,-7.26E-04
7657.651,-8.71E-04,-9.84E-04,-1.53E-03,-7.11E-04
7662.212,-5.79E-04,-9.14E-04,-1.49E-03,-7.23E-04
7666.792,-3.04E-04,-8.32E-04,-1.48E-03,-7.83E-04
7671.391,1.04E-04,-7.94E-04,-1.46E-03,-7.90E-04
7676.009,1.19E-04,-7.79E-04,-1.39E-03,-7.69E-04
7680.645,-3.32E-04,-7.69E-04,-1.37E-03,-7.65E-04
7685.301,-1.11E-03,-8.23E-04,-1.44E-03,-7.73E-04
7689.976,-1.81E-03,-8.96E-04,-1.41E-03,-7.84E-04
7694.67,-2.04E-03,-8.49E-04,-1.37E-03,-7.62E-04
7699.383,-2.09E-03,-8.15E-04,-1.39E-03,-7.51E-04
7704.115,-1.87E-03,-8.77E-04,-1.49E-03,-7.71E-04
7708.866,-1.90E-03,-8.91E-04,-1.65E-03,-7.69E-04
7713.636,-2.14E-03,-8.65E-04,-1.64E-03,-7.39E-04
7718.425,-2.02E-03,-8.83E-04,-1.59E-03,-7.22E-04
7723.233,-1.62E-03,-8.90E-04,-1.66E-03,-7.32E-04
7728.06,-1.30E-03,-8.26E-04,-1.73E-03,-7.40E-04
7732.906,-1.42E-03,-8.44E-04,-1.72E-03,-7.25E-04
7737.771,-1.28E-03,-8.64E-04,-1.57E-03,-7.09E-04
7742.655,-1.09E-03,-8.09E-04,-1.45E-03,-6.86E-04
7747.559,-1.19E-03,-8.62E-04,-1.41E-03,-6.62E-04
7752.48,-1.44E-03,-9.08E-04,-1.39E-03,-6.78E-04
7757.422,-1.49E-03,-8.68E-04,-1.48E-03,-7.07E-04
7762.382,-1.48E-03,-8.73E-04,-1.58E-03,-7.17E-04
7767.361,-1.93E-03,-8.75E-04,-1.51E-03,-7.19E-04
7772.359,-1.72E-03,-8.35E-04,-1.38E-03,-7.25E-04
7777.377,-1.24E-03,-8.14E-04,-1.34E-03,-7.22E-04
7782.413,-1.25E-03,-7.89E-04,-1.35E-03,-7.15E-04
7787.468,-1.69E-03,-7.99E-04,-1.41E-03,-7.15E-04
7792.543,-1.16E-03,-8.69E-04,-1.46E-03,-7.09E-04
7797.636,-6.16E-04,-8.43E-04,-1.46E-03,-6.97E-04
7802.748,-1.28E-03,-8.19E-04,-1.43E-03,-6.96E-04
7807.88,-9.56E-04,-8.29E-04,-1.47E-03,-7.01E-04
7813.03,-7.38E-04,-7.76E-04,-1.45E-03,-7.15E-04
7818.2,-1.16E-03,-7.95E-04,-1.43E-03,-7.12E-04
7823.388,-1.23E-03,-8.62E-04,-1.51E-03,-6.81E-04
7828.596,-1.07E-03,-8.62E-04,-1.46E-03,-6.79E-04
7833.822,-1.11E-03,-8.04E-04,-1.42E-03,-6.88E-04
7839.068,-1.49E-03,-7.49E-04,-1.54E-03,-6.72E-04
7844.332,-1.19E-03,-7.65E-04,-1.50E-03,-6.72E-04
7849.616,-9.85E-04,-8.15E-04,-1.44E-03,-6.84E-04
7854.918,-1.36E-03,-8.10E-04,-1.45E-03,-6.72E-04
7860.24,-1.63E-03,-8.00E-04,-1.39E-03,-6.59E-04
7865.58,-1.55E-03,-7.86E-04,-1.36E-03,-6.46E-04
7870.94,-1.38E-03,-7.43E-04,-1.35E-03,-6.52E-04
7876.319,-1.52E-03,-7.34E-04,-1.34E-03,-6.80E-04
7881.717,-1.65E-03,-7.82E-04,-1.33E-03,-6.72E-04
7887.133,-1.26E-03,-7.99E-04,-1.35E-03,-6.45E-04
7892.569,-1.15E-03,-7.55E-04,-1.32E-03,-6.53E-04
7898.024,-1.38E-03,-7.48E-04,-1.28E-03,-6.70E-04
7903.497,-1.34E-03,-7.90E-04,-1.27E-03,-6.57E-04
7908.99,-1.34E-03,-8.07E-04,-1.31E-03,-6.38E-04
7914.502,-1.39E-03,-8.31E-04,-1.37E-03,-6.33E-04
7920.033,-1.39E-03,-8.13E-04,-1.38E-03,-6.32E-04
7925.583,-1.06E-03,-7.89E-04,-1.33E-03,-6.53E-04
7931.152,-1.06E-03,-7.63E-04,-1.30E-03,-6.44E-04
7936.74,-1.27E-03,-7.23E-04,-1.29E-03,-6.23E-04
7942.347,-9.26E-04,-7.11E-04,-1.29E-03,-6.24E-04
7947.973,-8.45E-04,-7.52E-04,-1.33E-03,-5.77E-04
7953.618,-1.19E-03,-7.48E-04,-1.39E-03,-6.13E-04
7959.282,-1.32E-03,-7.29E-04,-1.42E-03,-6.68E-04
7964.965,-1.14E-03,-7.67E-04,-1.30E-03,-6.31E-04
7970.667,-9.20E-04,-7.68E-04,-1.13E-03,-6.38E-04
7976.388,-9.85E-04,-7.69E-04,-9.66E-04,-6.19E-04
7982.128,-1.12E-03,-7.69E-04,-8.00E-04,-5.96E-04
7987.887,-1.34E-03,-7.70E-04,-6.34E-04,-6.14E-04
7993.665,-1.29E-03,-7.71E-04,-4.67E-04,-6.12E-04
7999.462,-1.16E-03,-7.72E-04,-2.99E-04,-6.16E-04
8005.278,-1.25E-03,-7.73E-04,-1.31E-04,-6.16E-04
8011.114,-1.18E-03,-7.74E-04,3.73E-05,-6.03E-04
8016.968,-1.11E-03,-7.75E-04,2.06E-04,-6.08E-04
8022.841,-1.21E-03,-7.76E-04,3.76E-04,-6.29E-04
8028.733,-1.26E-03,-7.77E-04,5.46E-04,-6.29E-04
8034.644,-1.32E-03,-7.78E-04,7.17E-04,-6.11E-04
8040.575,-1.40E-03,-7.79E-04,8.88E-04,-5.98E-04
8046.524,-1.22E-03,-7.80E-04,1.06E-03,-6.02E-04
