energy,Fe_foil,Fe2O3,Fe3O4,FeO
7168.488,-3.87E-04,2.35E-03,8.83E-04,-1.42E-03
7169.948,-1.09E-03,1.98E-03,4.58E-04,-2.47E-03
7171.428,-1.47E-03,2.05E-03,-1.62E-04,-3.22E-03
7172.926,-1.25E-03,-3.44E-04,-7.87E-04,-3.30E-03
7174.443,-7.05E-04,-3.60E-03,-7.58E-04,-3.02E-03
7175.979,1.57E-04,-4.08E-03,-2.53E-04,-3.07E-03
7177.535,1.38E-03,-2.89E-03,-3.88E-04,-2.80E-03
7179.109,2.22E-03,-1.94E-03,-1.38E-03,-1.74E-03
7180.703,2.18E-03,-1.42E-03,-2.13E-03,-5.13E-04
7182.315,1.73E-03,-1.21E-03,-1.98E-03,4.88E-04
7183.947,1.53E-03,-6.80E-04,-1.10E-03,9.40E-04
7185.597,1.34E-03,7.17E-06,-3.46E-04,6.82E-04
7187.267,8.89E-04,4.26E-04,-2.80E-04,2.89E-04
7188.955,4.32E-04,-8.55E-05,-4.42E-04,2.68E-04
7190.663,-2.98E-04,-9.62E-04,-6.20E-04,5.71E-04
7192.389,-1.77E-03,-6.91E-04,-5.81E-04,9.55E-04
7194.135,-3.03E-03,1.63E-04,-1.93E-04,1.27E-03
7195.899,-3.01E-03,3.23E-04,-1.81E-06,1.36E-03
7197.683,-2.07E-03,-2.41E-04,-2.62E-05,1.14E-03
7199.486,-1.11E-03,-2.62E-04,6.90E-05,6.01E-04
7201.308,-5.18E-04,1.65E-05,3.12E-04,-1.12E-04
7203.148,2.47E-04,3.74E-04,6.30E-04,-6.21E-04
7205.008,1.76E-03,9.16E-04,8.57E-04,-7.25E-04
7206.887,3.60E-03,7.59E-04,8.76E-04,-4.60E-04
7208.784,4.92E-03,3.04E-04,6.99E-04,5.10E-05
7210.701,4.89E-03,2.38E-04,4.96E-04,4.25E-04
7212.637,2.95E-03,4.13E-04,4.90E-04,5.67E-04
7214.592,-1.57E-04,5.02E-04,4.53E-04,5.36E-04
7216.565,-2.70E-03,4.51E-05,2.30E-04,2.75E-04
7218.559,-4.25E-03,9.32E-06,-2.23E-05,-2.11E-04
7220.57,-5.13E-03,1.62E-04,-2.12E-04,-7.77E-04
7222.601,-4.70E-03,-4.66E-04,-4.26E-04,-1.07E-03
7224.651,-2.98E-03,-6.60E-04,-7.14E-04,-1.01E-03
7226.72,-1.21E-03,-3.23E-04,-6.97E-04,-7.09E-04
7228.808,-1.22E-04,-7.61E-06,-5.53E-04,-3.72E-04
7230.915,9.50E-04,3.42E-04,-4.91E-04,-7.47E-05
7233.041,2.02E-03,4.64E-04,-3.34E-04,2.79E-04
7235.186,2.40E-03,1.97E-04,-3.15E-04,7.85E-04
7237.351,2.39E-03,-2.30E-04,-3.11E-04,1.27E-03
7239.533,2.05E-03,-4.86E-04,-3.66E-05,1.20E-03
7241.735,1.31E-03,-4.91E-04,4.25E-04,7.07E-04
7243.956,4.67E-04,-2.39E-04,8.17E-04,2.45E-04
7246.197,-5.49E-04,1.98E-04,9.27E-04,-3.20E-04
7248.456,-1.35E-03,3.13E-04,8.17E-04,-7.17E-04
7250.734,-1.35E-03,2.55E-04,6.00E-04,-6.93E-04
7253.031,-4.76E-04,5.33E-04,3.56E-04,-4.38E-04
7255.348,6.49E-04,6.34E-04,1.43E-04,-6.64E-05
7257.683,1.12E-03,2.56E-04,-6.37E-05,1.88E-04
7260.037,6.80E-04,-1.95E-04,-2.18E-04,2.70E-04
7262.411,5.53E-05,-2.37E-04,-3.45E-04,1.69E-04
7264.803,-5.02E-05,1.00E-04,-4.66E-04,-7.02E-06
7267.214,3.78E-04,-3.19E-05,-4.05E-04,-1.24E-04
7269.644,5.77E-04,-4.17E-04,-2.37E-04,-2.17E-04
